checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
scaled_tda_hybrid,tda_hybrid,10,0,-0.03076171875,3.9,3.86923828125,0.9795525615333074,0.02044743846669263,33.551206870890965,48.40415976847411,0.6524547934532166,0.020389210432767868,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,1,0.02978515625,3.9,3.92978515625,0.9807307076733872,0.019269292326612737,35.62389756984562,51.394420361152676,0.9277077913284302,0.028990866616368294,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,2,0.031005859375,3.9,3.931005859375,0.980753762972416,0.019246237027584025,35.66698973445116,51.45658921333025,0.6994431018829346,0.021857596933841705,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,3,0.0302734375,3.9,3.9302734375,0.9807399330402854,0.01926006695971464,35.64112812401004,51.41927879619745,1.0324816703796387,0.03226505592465401,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,4,0.0189208984375,3.9,3.9189208984375,0.9805243191816064,0.019475680818393553,35.24268573543693,50.84444793812307,0.6466414332389832,0.020207544788718224,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,5,-0.033935546875,3.9,3.866064453125,0.9794888950002555,0.020511104999744532,33.44598059759062,48.252350345812474,0.6369463205337524,0.019904572516679764,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,6,-0.02490234375,3.9,3.87509765625,0.9796695917760643,0.020330408223935722,33.7463502923719,48.685692214906766,0.6744135618209839,0.021075423806905746,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,7,0.001251220703125,3.9,3.901251220703125,0.9801840117267775,0.019815988273222524,34.63145837601668,49.96263325783182,0.6666041612625122,0.020831380039453506,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,8,-0.004364013671875,3.9,3.895635986328125,0.9800746506735163,0.01992534932648368,34.43946729956897,49.68564868394577,0.6529987454414368,0.0204062107950449,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,9,-0.03076171875,3.9,3.86923828125,0.9795525615333074,0.02044743846669263,33.551206870890965,48.40415976847411,0.6177245378494263,0.01930389180779457,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,10,-0.033935546875,3.9,3.866064453125,0.9794888950002555,0.020511104999744532,33.44598059759062,48.252350345812474,0.5776333212852478,0.018051041290163994,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,11,-0.031494140625,3.9,3.868505859375,0.9795378864522742,0.02046211354772572,33.52689423608255,48.36908405080506,0.3610321283340454,0.011282254941761494,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,12,-0.03076171875,3.9,3.86923828125,0.9795525615333074,0.02044743846669263,33.551206870890965,48.40415976847411,0.489897221326828,0.015309288166463375,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,13,-0.0281982421875,3.9,3.8718017578125,0.9796038432090607,0.020396156790939268,33.63644145083956,48.52712727427821,0.5931617021560669,0.01853630319237709,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,14,0.024658203125,3.9,3.924658203125,0.9806335794037037,0.019366420596296376,35.443483767585334,51.13413826332384,0.72046959400177,0.022514676675200462,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,10,15,-0.031982421875,3.9,3.868017578125,0.9795280973364,0.02047190266359999,33.510695702199065,48.34571450630169,0.8076133728027344,0.02523791790008545,1024,blocks.10.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,0,-0.01544189453125,3.9,3.88455810546875,0.9798571637458684,0.02014283625413164,34.06384888543944,49.14374586061453,0.5365335941314697,0.016766676679253578,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,1,0.0242919921875,3.9,3.9242919921875,0.9806266233348104,0.019373376665189537,35.43063242502125,51.11559769513787,0.6378541588783264,0.0199329424649477,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,2,-0.0057373046875,3.9,3.8942626953125,0.9800478149055516,0.01995218509444842,34.392676791587796,49.618144250120665,0.5052796006202698,0.01578998938202858,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,3,0.0257568359375,3.9,3.9257568359375,0.9806544329239484,0.019345567076051652,35.482066043376,51.189800721273244,0.6258907318115234,0.019559085369110107,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,4,0.0146484375,3.9,3.9146484375,0.9804425629266944,0.01955743707330565,35.09390184207326,50.629798153003144,0.651787519454956,0.020368361845612526,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,5,-0.01544189453125,3.9,3.88455810546875,0.9798571637458684,0.02014283625413164,34.06384888543944,49.14374586061453,0.48763972520828247,0.015238741412758827,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,6,0.005615234375,3.9,3.905615234375,0.9802685979512964,0.019731402048703644,34.781415069229794,50.17897503547848,0.3900682330131531,0.012189633212983608,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,7,-0.0301513671875,3.9,3.8698486328125,0.9795647828951969,0.02043521710480308,33.57148100601856,48.433409162681,0.40431147813796997,0.01263473555445671,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,8,0.0235595703125,3.9,3.9235595703125,0.9806127038488478,0.019387296151152235,35.40494385360037,51.078536920541445,0.6763080954551697,0.0211346298456192,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,9,0.025146484375,3.9,3.925146484375,0.9806428503539196,0.01935714964608038,35.46062621309501,51.15886958444936,0.6595322489738464,0.0206103827804327,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,10,-0.01544189453125,3.9,3.88455810546875,0.9798571637458684,0.02014283625413164,34.06384888543944,49.14374586061453,0.3549289405345917,0.011091530323028564,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,11,-0.02734375,3.9,3.87265625,0.9796209090992563,0.02037909090074378,33.664901563520864,48.56818653770666,0.5573612451553345,0.017417538911104202,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,12,0.0191650390625,3.9,3.9191650390625,0.9805289808365238,0.019471019163476155,35.25120688613615,50.8567413599795,0.5117167234420776,0.015991147607564926,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,13,-0.007720947265625,3.9,3.892279052734375,0.9800089896109355,0.01999101038906447,34.325203835121215,49.5208013504322,0.37092843651771545,0.011591514572501183,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,14,0.0086669921875,3.9,3.9086669921875,0.9803275388429378,0.019672461157062213,34.88666936991409,50.33082489310796,0.43523308634757996,0.013601034879684448,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,14,15,0.01007080078125,3.9,3.91007080078125,0.980354593683808,0.019645406316192077,34.93519430910274,50.400831582234865,0.45143672823905945,0.014107398688793182,1024,blocks.14.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,0,-0.003692626953125,3.9,3.896307373046875,0.9800877575097384,0.01991224249026156,34.462366054419434,49.71868460401107,0.616626501083374,0.019269580021500587,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,1,-0.039794921875,3.9,3.860205078125,0.9793708464951116,0.02062915350488838,33.252591885085295,47.973349409317144,0.808568000793457,0.02526775561273098,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,2,0.034912109375,3.9,3.934912109375,0.9808273583403104,0.01917264165968953,35.8052386623206,51.65604025597571,0.9420591592788696,0.029439350590109825,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,3,0.004058837890625,3.9,3.904058837890625,0.9802384715025112,0.01976152849748883,34.727858922954226,50.1017098488376,0.5861728191375732,0.018317900598049164,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,4,0.028076171875,3.9,3.928076171875,0.9806983847620131,0.01930161523798685,35.56365683820055,51.307511356348805,0.8031518459320068,0.025098495185375214,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,5,-0.0341796875,3.9,3.8658203125,0.9794839895433258,0.020516010456674158,33.43790009253748,48.24069264124444,0.7008015513420105,0.021900050342082977,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,6,-0.0277099609375,3.9,3.8722900390625,0.9796135968591068,0.020386403140893287,33.65270139468974,48.550585414636,0.7034810781478882,0.021983783692121506,1024,blocks.2.attn.mem.w_gamma
scaled_tda_hybrid,tda_hybrid,2,7,-0.039306640625,3.9,3.860693359375,0.9793807092212962,0.020619290778703885,33.26866436990396,47.996537103459794,0.7596103549003601,0.023737823590636253,1024,blocks.2.attn.mem.w_gamma
